,selling_price,home_age,bedrooms,bathrooms,sqft_living,sqft_lot,sqft_basement,floors
1,487000,10,4,2.5,2540,5001,0,2
2,465000,10,3,2.25,1530,1245,480,2
3,411000,18,2,2,1130,1148,330,2
4,635000,4,3,2.5,3350,4007,800,2
5,380000,24,5,2.5,2130,8428,0,2
6,495000,21,3,3.5,1650,1577,550,2
7,355000,19,3,2.25,1430,4777,0,2
8,464950,19,3,2,2190,19800,0,1
9,425000,11,4,2.5,1920,9000,0,2
10,535000,3,4,2.75,2360,15100,0,1
11,356000,24,2,1,1430,365904,420,1
12,495000,3,4,2.5,2140,7245,0,2
13,525000,16,3,2.75,2100,10362,590,2
14,559900,20,3,2.75,2930,5569,1070,1
15,552321,29,3,2.5,1960,8469,0,2
16,475000,0,5,2.5,2300,28480,0,2
17,485000,6,3,2.25,2440,47916,350,2
18,381000,25,3,2,1680,8946,740,1
19,525000,28,5,3,2450,4591,0,2
20,540000,22,3,2.5,2220,5279,0,2
21,450000,25,3,2.5,1990,12866,0,2
22,624000,26,5,3.75,3570,14648,0,2
23,452000,27,3,2.5,1530,5032,0,2
24,398000,14,3,1.5,1310,2996,0,2
25,389999,24,3,2.25,1445,1471,145,2
26,387000,15,3,2.25,1445,1606,145,2
27,4.00E+05,9,3,2.5,1600,2388,0,2
28,355000,37,3,2.25,1410,1332,120,2
29,391000,30,3,2.25,1410,1290,120,2
30,384500,26,3,2.5,1600,2610,0,2
31,379500,7,3,2.25,1410,1287,120,2
32,377500,21,3,2.25,1410,1377,120,2
33,375000,33,3,2.5,1600,2042,0,2
34,533500,17,3,3.5,2490,3517,770,2
35,550000,9,3,3.5,2490,3582,770,2
36,366000,19,3,2.25,1445,1028,145,2
37,355000,26,3,2.25,1445,1087,145,2
38,415000,24,3,2.25,1445,1512,145,2
39,590000,11,4,2.5,2940,29013,0,2
40,456500,20,4,2.5,2400,6811,0,2
41,355000,22,4,2.5,1780,15000,0,2
42,362500,20,3,2,1940,40588,0,1
43,520000,29,3,1.75,1940,219527,0,1
44,535000,17,5,2.5,3190,6178,0,2
45,592000,31,3,2.5,2400,81892,0,2
46,410000,25,4,2.5,1900,15123,0,2
47,429000,13,3,2.5,1920,15124,0,2
48,470000,2,4,2.5,2470,8536,0,2
49,515000,5,3,2.5,2130,219978,0,2
50,599000,18,4,2.5,2790,230868,0,2
51,566000,8,3,2.5,2090,6294,0,2
52,408000,23,3,2,1640,3440,0,2
53,369950,32,3,2.5,1360,3718,0,2
54,395000,24,3,2.5,1610,3755,0,2
55,419500,27,3,2.5,1360,3188,0,2
56,365000,19,3,2,2030,8649,0,1
57,392500,25,4,2.5,2150,7303,0,2
58,440000,30,4,2.5,2230,5650,0,2
59,373000,29,3,2,1400,2445,560,1
60,542950,12,3,2.5,2070,39768,0,2
61,510000,22,3,2.5,2540,40106,0,2
62,630000,24,2,2.25,2550,5663,830,1
63,599000,16,5,2.5,2950,72309,0,2
64,550000,2,3,2.5,2720,62310,680,1
65,513000,5,3,2.5,2150,161607,820,2
66,450000,19,3,2.5,1639,2710,160,2
67,365000,27,2,1.5,820,1270,0,2
68,378000,26,2,1.5,980,853,160,2
69,370000,24,2,1,780,1133,0,2
70,362500,33,2,1.5,940,1768,0,2
71,363000,16,2,2,920,1201,120,2
72,359000,38,3,3,1320,1071,240,2
73,450000,35,2,3,1790,1709,390,2
74,449000,23,2,2.5,1460,1296,300,2
75,403000,31,2,1.5,1240,1101,160,2
76,462500,21,6,3,2390,4000,0,2
77,429000,23,3,2,1700,52826,0,1
78,365000,32,2,2,1440,15000,0,1
79,535000,12,4,2.5,2280,65836,0,2
80,575000,11,4,2.5,2550,56628,0,2
81,433200,22,3,2.5,2075,16200,0,2
82,465000,16,3,2,1840,40438,0,2
83,515000,30,5,3,2530,5105,1010,1
84,402500,22,3,1.75,1480,2211,0,2
85,415000,27,3,1.75,1480,2200,0,2
86,389000,25,4,2.25,2130,5337,0,2
87,415000,12,4,2.5,2230,5743,0,2
88,414000,23,4,2.5,2120,6497,0,2
89,453250,43,4,2.5,2260,6300,0,2
90,523000,3,4,2.5,2660,65340,0,2
91,515000,23,4,2.5,2670,8765,0,2
92,6.00E+05,10,4,2.75,3110,11225,0,2
93,579000,25,4,2.75,3220,9825,0,2
94,350000,29,3,2.5,1630,3425,0,2
95,645000,21,3,2.25,3280,79279,0,1
96,350000,22,3,2,1680,81893,0,1
97,407000,30,2,2.5,1340,999,400,2
98,589500,25,3,3.25,2310,3075,580,2
99,399500,33,2,1.5,1180,1722,0,2
100,380000,15,3,2.5,1260,900,320,2
101,390000,28,3,2.5,1310,1254,460,2
102,370000,25,3,2.5,1070,1219,350,2
103,393500,37,3,1.75,1230,1441,220,2
104,401750,29,2,1.5,1070,1236,70,2
105,505000,15,4,2.5,2790,5602,0,2
106,527000,1,4,2.5,2900,6736,0,2
107,350000,31,3,1.75,1250,13775,0,1
108,458000,8,3,4,1390,1569,240,2
109,619000,6,3,2.5,2560,43608,0,2
110,630000,19,3,2.5,2460,38794,0,2
111,402000,24,3,1.5,1320,3145,0,2
112,495000,18,3,2.5,1860,3150,0,2
113,499950,3,3,2.5,2370,12753,0,2
114,627000,3,4,2.5,2750,11830,0,2
115,447055,27,4,2.5,2448,4949,0,2
116,491000,27,5,3.5,2815,4900,0,2
117,368500,24,5,2.75,2530,7601,1010,1
118,540500,25,3,2,2800,185130,480,1
119,360000,29,4,2.5,1840,9611,0,2
120,518000,36,4,2.5,2790,9910,0,2
121,551500,8,4,2.5,2950,10003,0,2
122,614905,26,3,2.5,2410,7225,0,2
123,580000,17,3,2.5,2180,40278,0,2
124,437000,25,3,2.5,1750,22357,0,2
125,353000,15,4,2.75,1920,4627,910,1
126,4.00E+05,32,2,2.5,1170,1811,0,2
127,387000,31,2,2.5,1170,1394,0,2
128,405000,24,2,2,1405,1073,265,2
129,490000,25,3,2.5,2410,11900,810,1
130,403950,26,4,2.5,2120,13780,0,2
131,465000,3,3,3.25,1510,1850,280,2
132,455000,10,2,2,1190,1303,390,2
133,556000,18,3,2.25,2020,3600,0,2
134,365000,27,3,2.25,1110,979,150,2
135,352750,22,2,1.75,1060,1241,100,2
136,399950,22,3,2.5,1610,1320,330,2
137,515000,11,3,3,2100,2409,440,2
138,350000,22,3,2.25,1322,1796,235,2
139,365000,26,3,2.25,1310,915,250,2
140,499000,16,4,2.75,2250,14149,0,2
141,470000,3,4,2.5,2310,14023,0,2
142,367500,18,3,3.25,1400,1343,240,2
143,452500,23,3,2.5,2430,88426,860,1
144,350000,13,3,2.5,1640,10424,0,2
145,454950,45,4,2.5,2413,5701,0,2
146,515000,3,3,2.5,1800,5001,0,2
147,525000,27,4,2.5,2303,16801,0,2
148,4.00E+05,14,2,2,1050,1173,330,2
149,426500,34,4,2.75,2100,88426,0,1
150,472000,8,3,2.5,1860,415126,0,2
151,415000,27,3,2.25,1510,36224,0,2
152,435000,22,3,2.5,1730,46638,0,2
153,379000,29,3,2.5,1740,30886,0,2
154,549000,19,4,2.25,2740,88426,0,2
155,590000,19,3,2.25,2680,41250,0,2
156,415900,13,3,2.5,1670,22703,360,1
157,390000,19,3,2,1510,10827,0,2
158,460000,9,3,2,1760,9055,0,2
159,620000,18,3,2.25,2520,212137,930,2
160,419000,25,3,2.25,1760,16418,570,1
161,576925,15,4,2.5,2630,6100,0,2
162,569995,12,4,2.5,2650,6875,0,2
163,580135,33,4,2.5,3150,5886,0,2
164,542525,6,4,2.5,2650,5600,0,2
165,519995,24,4,3,2590,6160,0,2
166,612995,36,5,3.5,3240,6919,480,2
167,549995,17,4,3.5,2660,5690,740,2
168,549995,11,4,3.5,2970,6587,710,2
169,494995,37,5,2.75,2670,3800,0,2
170,469995,0,4,2.5,2350,3800,0,2
171,459995,7,4,2.5,2350,3760,0,2
172,515805,13,5,2.75,2710,4136,0,2
173,465000,26,4,2.5,2590,16437,0,2
174,499990,29,4,2.75,2620,7001,0,2
175,535365,31,4,2.75,2790,6969,0,2
176,475000,20,4,2.75,2620,6178,0,2
177,456000,23,3,2.5,2130,5205,0,2
178,499431,31,4,2.75,2620,6019,0,2
179,505657,8,4,2.75,2790,8092,0,2
180,533380,24,4,2.75,2790,6685,0,2
181,533112,20,4,2.75,2790,8853,0,2
182,570000,18,4,2.5,2640,11816,0,2
183,487600,24,4,2.5,2340,12080,0,2
184,587000,14,4,2.5,2550,6256,0,2
185,620000,23,5,2.5,3070,34991,0,2
186,372500,22,3,1.75,1550,12956,340,1
187,463000,15,3,2.5,2190,17108,0,2
188,386000,22,3,2,2120,7560,0,1
189,420000,13,3,2.5,1470,1571,290,2
190,355000,22,2,2.25,930,747,300,2
191,445000,18,3,2.5,1550,930,490,2
192,384000,19,3,2.5,1540,1564,240,2
193,499000,11,4,2.5,2680,10590,0,2
194,355000,25,3,2.5,1810,3192,740,1
195,518000,5,4,2.75,2520,14021,0,2
196,475000,4,5,3.5,2780,3583,600,2
197,379880,24,3,2.5,1650,14054,520,1
198,490000,18,4,2.25,2020,85813,0,2
199,435000,18,3,1.75,2220,132858,1110,1
200,402101,19,2,0.75,1020,1350,0,2
201,496500,17,3,2.5,2260,3640,0,2
202,475000,23,3,2.5,2280,3710,730,1
203,385000,26,2,2.5,1760,3710,630,1
204,472500,13,3,2.5,1650,3711,0,2
205,6.00E+05,16,3,2.5,2630,77972,0,2
206,637000,21,4,3.5,3080,118918,0,2
207,360000,30,4,2.25,1930,6508,0,2
208,382000,34,3,2.25,1800,4500,0,2
209,539950,28,4,2.5,2960,37430,0,2
210,525000,5,3,2.5,2340,35021,0,1
211,557500,10,3,2,2510,35255,0,1
212,397500,30,4,3,2350,9952,700,1
213,364950,8,4,2.5,1930,6957,0,2
214,467000,13,3,2,1840,3432,0,2
215,577500,14,3,2.5,2280,10879,0,2
216,570000,26,3,2.25,2180,9246,0,2
217,365000,26,5,2.75,2410,5003,1000,1
218,362000,26,5,3,1810,3000,0,2
219,374000,25,2,2.25,1100,1695,0,2
220,539000,12,3,2.75,2130,1400,1050,2
221,525000,17,3,2.75,2130,1400,1050,2
222,532000,21,3,3.75,2260,2050,1090,2
223,460000,23,3,2.5,1610,2527,530,2
224,5.00E+05,2,4,3.25,2670,5001,1030,1
225,475000,15,3,2.5,2220,60984,0,2
226,635000,5,2,2.5,2470,8840,690,2
227,5.00E+05,4,4,2.25,2060,44431,0,2
228,439000,25,3,2,2010,251341,500,2
229,370000,15,2,2.25,1280,835,200,2
230,420000,32,1,2,1070,675,190,2
231,412000,26,3,1.75,1950,52256,0,1
232,477590,12,3,3.25,2260,7701,500,2
233,625000,3,3,2.5,2440,4800,0,2
234,445000,20,4,2.5,2170,6000,540,2
235,440000,29,1,1,1160,64469,0,1
236,390000,27,3,2.5,1410,26375,0,1
237,410000,26,3,1.75,1530,26642,350,1
238,557500,10,4,2.5,2390,38258,0,2
239,395000,23,3,2.5,1630,15200,510,1
240,435000,27,4,2.5,2150,3143,0,2
241,5.00E+05,16,4,2.25,1960,12436,0,2
242,359950,26,3,2,1790,7212,0,1
243,361000,27,3,2,1950,8698,0,1
244,432500,9,3,2.5,1340,8867,0,2
245,549000,24,3,2.5,2250,9235,0,2
246,475000,23,3,2.5,2130,8022,0,2
247,515000,10,3,2.5,2100,7851,0,2
248,590000,3,3,2.5,2400,99752,0,1
249,375000,22,3,2.25,1330,8004,0,2
250,565000,20,4,2.75,2730,6856,0,2
251,385000,12,4,2,2340,9716,0,1
252,440000,18,3,2,1790,32379,0,1
253,495000,34,3,2.5,1780,47480,0,2
254,530000,25,4,2.5,2590,7891,0,2
255,612000,9,4,2.5,2670,5974,0,2
256,644500,7,4,2.5,2990,5342,0,2
257,395000,33,3,2,1890,14040,0,2
258,482000,7,2,2.25,1350,1248,170,2
259,560000,32,3,2,2560,216777,0,1
260,399000,3,3,1.75,2170,73616,0,1
261,620000,0,4,2.5,2980,210395,0,2
262,530000,29,3,2.75,2440,45738,600,2
263,359000,19,3,2.25,1650,7218,420,1
264,440000,28,3,2,1550,2401,0,2
265,430000,20,2,2.25,1040,1516,0,2
266,435000,13,2,2.5,1560,1222,480,2
267,446000,22,2,1.5,1370,1221,290,2
268,397500,33,3,2.5,1470,1256,540,2
269,390000,20,2,1.5,1050,934,90,2
270,375000,24,2,1.5,1050,1046,90,2
271,386180,20,2,1.5,960,1829,0,2
272,499000,9,4,2.5,1970,2601,530,2
273,560000,5,4,2.5,2300,7989,0,2
274,565000,5,4,2.5,2330,7936,0,2
275,467000,19,4,2.75,2170,5024,0,2
276,515000,16,3,2.5,1790,7167,0,2
277,580000,1,3,2.5,2150,7484,0,2
278,485000,13,3,2.5,1680,7385,0,2
279,575000,21,4,2.5,2400,6137,0,2
280,353000,22,3,2,1678,13862,0,1
281,455000,17,4,2.5,2210,49375,0,1
282,5.00E+05,20,3,2.5,1720,3012,0,2
283,565000,18,4,2.5,2620,10016,0,2
284,605000,26,4,2.5,2620,7553,0,2
285,560000,6,3,2.5,2070,12708,0,2
286,385000,21,4,3.25,1790,2460,690,2
287,445000,25,4,2.5,2340,3784,0,2
288,427800,26,3,1.75,1340,13241,0,1
289,430000,34,3,2.25,2160,6527,580,2
290,540000,18,4,2.25,2540,228254,1090,1
291,375000,8,4,2,1790,61419,0,2
292,455000,15,4,2.5,1770,13168,0,2
293,398000,25,4,2.5,2050,14724,0,2
294,580000,10,5,3.25,3030,7410,880,2
295,5.00E+05,27,4,2.5,2230,8560,0,2
296,440000,21,4,2.5,2400,8038,0,2
297,450000,25,4,2.5,2400,7693,0,2
298,388000,30,4,2.5,2090,5040,0,2
299,445000,22,2,1.5,1510,2001,0,2
300,451101,4,2,1.5,1510,1962,0,2
301,419000,22,2,2.5,1470,2034,0,2
302,350000,20,2,1.5,830,1077,0,2
303,440000,22,3,2.25,1680,57063,0,2
304,445000,21,3,2,1630,8702,0,1
305,375000,25,2,2.5,750,1430,0,2
306,641000,4,4,3.25,2760,4104,860,2
307,365000,27,5,2.5,2260,7040,0,2
308,361500,20,4,2.5,1980,7334,0,2
309,410000,29,3,2.25,1420,3750,0,2
310,405000,17,4,2.5,2090,6667,0,2
311,4.00E+05,23,4,2.5,2150,5397,0,2
312,560000,13,4,2.5,2710,6583,0,2
313,506000,3,3,2.5,2100,213008,0,1
314,391000,20,4,2.25,2190,3850,0,2
315,475000,16,3,2.25,2280,5750,1130,1
316,439950,6,3,2.5,1770,2875,0,2
317,512500,27,3,2.5,1840,2875,0,2
318,460000,12,3,2.25,1530,1840,290,2
319,650000,6,4,2.5,2840,9354,0,2
320,530000,34,4,2.5,2950,4836,0,2
321,448000,27,4,2.5,2230,5000,580,1
322,549900,22,4,3,2830,213879,0,2
323,590000,26,4,2.75,2400,104108,0,2
324,460000,15,4,2,2090,40419,0,1
325,5.00E+05,4,3,2,1990,65340,0,2
326,352500,23,3,2.25,1410,14110,240,1
327,412500,14,3,1.75,1660,10716,560,1
328,447450,29,3,2.25,1570,7200,0,2
329,481500,10,3,2.25,1840,10500,0,2
330,515100,21,3,2.5,2074,4900,0,2
331,358000,31,3,2.25,1610,6655,0,2
332,360000,28,4,2.5,1950,5451,0,2
333,364000,30,2,2.25,1280,2574,0,2
334,372000,6,3,2,1330,1042,270,2
335,368000,39,3,2.5,1370,1350,360,2
336,370000,24,3,2,1680,5036,0,1
337,350000,14,3,2.5,1630,5996,0,2
338,598555,8,3,2.5,3040,7880,0,2
339,437000,21,2,3,1460,1452,320,2
340,405500,22,2,2.75,1350,1252,230,2
341,405000,25,2,3,1410,1240,270,2
342,560000,10,3,3.5,2270,4088,390,2
343,528000,13,3,2.75,2160,4086,780,1
344,480000,8,4,2.5,2480,5100,0,2
345,465000,16,3,2.5,2050,15035,0,2
346,649000,3,4,2.5,2980,12764,0,2
347,405000,16,2,1.75,1350,2653,0,2
348,379000,28,3,2.5,1530,2913,0,2
349,405000,28,2,1.5,1370,4102,0,2
350,503000,19,3,2.5,2190,4882,0,2
351,435000,14,4,2.5,2130,10375,0,2
352,397500,18,3,2,2130,8225,0,1
353,436500,21,4,2.5,2290,11173,0,2
354,520000,6,3,2.25,2030,16200,0,2
355,350000,34,4,1.75,1770,7336,0,1
356,470000,23,3,2.5,1980,9725,0,2
357,417000,23,3,2.25,1840,11403,0,2
358,470000,11,4,2.5,2520,9684,0,2
359,480000,0,4,2.5,2180,9861,0,2
360,490000,11,3,2.5,2040,9622,0,2
361,485000,21,4,2.5,2400,10364,0,2
362,408200,19,3,2.5,1800,5761,0,2
363,520000,16,4,2.5,2490,34947,340,2
364,427000,16,3,2.5,1830,65340,310,1
365,476500,13,4,2.5,2250,50155,0,2
366,399950,27,3,2.25,1560,11997,300,1
367,390000,30,4,2.75,1790,47250,570,1
368,407500,27,4,2.5,1900,9075,0,2
369,418000,29,2,1.5,1480,1349,240,2
370,458500,1,3,2,1890,1599,460,2
371,445000,31,4,2.5,2360,81892,0,1
372,430000,14,3,2.5,2075,39553,0,1
373,635000,22,3,2.25,2680,175982,0,1
374,495000,19,4,3,2740,2811,500,2
375,451000,7,3,2.5,2050,4876,0,2
376,613500,17,4,2.5,3020,6068,0,2
377,644000,13,4,2.5,3310,4839,0,2
378,552500,6,3,2.5,2450,3582,0,2
379,460000,7,3,2.5,1450,1053,510,2
380,414500,31,2,1.5,1210,1278,190,2
381,422250,27,2,1.5,1280,1256,80,2
382,469000,9,3,3.25,1390,1278,250,2
383,489000,25,3,3.5,1500,1249,260,2
384,425000,24,2,2.5,1320,1329,140,2
385,436000,14,3,2.5,1460,1238,260,2
386,453000,2,3,2.5,1650,1838,380,2
387,487500,19,3,2.5,1810,1988,460,2
388,503500,8,3,2.5,1810,1750,460,2
389,439990,23,3,2.5,1930,1348,630,2
390,390000,15,3,3,1490,2944,530,2
391,399950,29,3,2.5,1230,922,150,2
392,450000,29,3,2.5,1530,762,480,2
393,497000,9,3,3,2060,1850,660,2
394,417000,19,3,2.5,1300,877,240,2
395,377000,17,2,1.5,1000,1251,70,2
396,386000,21,3,1.5,1270,1318,190,2
397,396500,20,3,1.5,1360,1488,240,2
398,385000,17,3,3.25,1320,1327,280,2
399,395000,22,3,3.5,1450,1263,290,2
400,370000,33,2,1.5,1010,2102,0,2
401,509500,2,2,2.5,1590,1485,290,2
402,407500,35,3,3.5,1522,1465,274,2
403,535000,10,4,2.5,2750,15099,0,2
404,562000,6,5,3,2795,15101,0,2
405,645000,35,4,2.5,2860,14000,0,2
406,564500,34,4,2.75,3100,14568,0,2
407,395000,28,2,2.25,1350,1493,300,2
408,449500,22,4,2.5,2410,55931,0,2
409,474950,23,3,2,2250,222156,0,1
410,595000,17,3,2.5,2250,8300,0,2
411,490000,15,3,2.5,1930,7266,0,2
412,607500,30,4,2.5,3000,8100,0,2
413,530000,17,3,2.5,1930,7214,0,2
414,435000,21,4,2.75,2230,9640,910,1
415,550000,30,5,2.5,2780,9272,0,2
416,4.00E+05,33,3,2.5,1450,8064,0,1
417,449950,33,3,1.75,2070,96703,0,1
418,550000,2,3,2.5,2290,6328,0,2
419,359800,16,5,2.5,2170,2752,0,2
420,359800,20,5,2.5,2170,2752,0,2
421,352800,25,4,2.25,1800,2752,0,2
422,447000,28,3,2.5,1800,3074,0,2
423,455000,9,4,2.5,1780,2992,0,2
424,435000,20,4,2.25,1780,2684,0,2
425,440000,21,2,2.75,1100,1088,350,2
426,350000,19,2,2.5,1280,940,220,2
427,417500,23,5,3,2270,6664,930,1
428,449950,24,4,2.5,2420,5244,0,2
429,352500,21,3,2,1920,33630,0,1
430,450000,29,2,1.5,1310,1264,190,2
431,550000,5,3,2.25,2090,8095,0,2
432,405000,29,5,2.75,2400,4900,0,2
433,640000,25,4,2.5,3420,21344,0,2
434,549950,15,4,3.5,3090,10510,900,1
435,479000,7,2,2.5,1741,1439,295,2
436,499000,23,3,2.5,1861,1587,283,2
437,575000,12,3,3.5,2514,1559,490,2
438,620000,16,4,2.5,2730,9260,0,2
439,635000,6,4,2.5,2720,7991,0,2
440,525000,5,4,2.5,2140,7754,0,2
441,507000,26,3,2.5,2120,7201,0,2
442,447500,20,2,2.25,1180,2090,0,2
443,466800,3,3,2.5,1480,14250,0,2
444,461100,9,2,2.25,1210,1267,90,2
445,370500,14,4,2.5,1790,6120,0,2
446,397000,28,4,2.5,1790,6590,0,2
447,590000,13,3,2.5,2520,10223,0,2
448,594950,16,4,2.5,2720,10006,0,2
449,535000,26,3,2.75,2300,12197,0,2
450,570000,5,3,3,2400,3192,0,2
451,380000,24,3,2,1440,3218,590,1
452,602500,7,4,2.5,2760,6850,0,2
453,489950,19,4,2.25,2640,31941,0,1
454,485000,15,4,2.5,2470,35073,0,2
455,425000,19,3,2.25,1580,39189,400,1
456,463000,20,3,2.5,1640,29970,0,2
457,460000,17,4,3,2230,52983,0,2
458,649500,15,4,3,3150,6599,0,2
459,570000,28,3,1.75,2580,40392,1190,1
460,625000,8,3,2.5,2750,35000,0,2
461,387000,18,2,2.25,1230,1280,270,2
462,645000,1,4,2.5,2850,37522,0,2
463,350000,23,3,2.5,1380,1590,220,2
464,380000,30,3,2.25,1520,1464,280,2
465,372500,23,2,2.5,1400,2958,0,2
466,465000,13,3,2.5,2150,4084,0,2
467,443000,26,3,2.5,1780,2778,250,2
468,350000,20,3,3.25,1460,1592,330,2
469,375000,17,3,2.5,1580,3825,0,2
470,375000,28,3,2.5,1580,2407,0,2
471,379000,8,3,2.5,1580,3075,0,2
472,379900,24,3,2.5,1800,2791,0,2
473,379900,19,3,2.5,1800,2792,0,2
474,391000,27,3,2.5,1800,1120,0,2
475,425000,19,4,2.5,1900,2766,0,2
476,355000,20,4,2.5,1890,7867,0,2
477,509000,24,3,2.25,1780,9315,0,2
478,569000,36,3,2.5,2150,8060,0,2
479,423000,23,4,2.5,2320,4254,0,2
480,429950,9,4,2.5,2320,4524,0,2
481,518000,5,4,2.5,2830,13760,0,2
482,442500,7,4,2.5,2170,14024,0,2
483,425000,36,3,2.5,1800,14036,0,2
484,369950,25,4,2.5,1910,10221,0,2
485,375900,26,3,2,1824,7120,0,1
486,588000,30,4,2.5,3060,7710,0,2
487,572000,24,4,2.75,2700,7992,0,2
488,579950,0,4,2.75,2460,8643,0,2
489,6.00E+05,14,5,2.75,3380,8179,0,2
490,380000,25,2,2.5,1230,987,170,2
491,441000,19,2,1,1290,1289,260,2
492,397500,28,3,2.25,1350,980,300,2
493,388500,23,3,2.25,1350,944,300,2
494,361000,17,2,2.5,1320,48787,0,1
495,5.00E+05,24,4,2.25,2050,7201,0,2
496,474950,19,3,2.25,1850,2575,0,2
497,399000,29,3,2.5,1800,3300,110,2
498,475000,5,3,2.5,1800,3300,110,2
