,final_grade,review_date,cocoa_percent,company_location,bean_type,broad_bean_origin
1,3.75,2016,0.63,France,,Sao Tome
2,2.75,2015,0.7,France,,Togo
3,3,2015,0.7,France,,Togo
4,3.5,2015,0.7,France,,Togo
5,3.5,2015,0.7,France,,Peru
6,2.75,2014,0.7,France,Criollo,Venezuela
7,3.5,2014,0.7,France,,Cuba
8,3.5,2014,0.7,France,Criollo,Venezuela
9,3.75,2014,0.7,France,Criollo,Venezuela
10,4,2014,0.7,France,,Peru
11,2.75,2013,0.7,France,,Panama
12,3,2013,0.7,France,Criollo,Madagascar
13,3.75,2013,0.7,France,,Ecuador
14,2.75,2013,0.7,France,,Colombia
15,3,2013,0.7,France,,Burma
16,3.25,2013,0.7,France,,Papua New Guinea
17,4,2013,0.7,France,Trinitario,Venezuela
18,3.25,2013,0.7,France,,Peru
19,3.5,2013,0.7,France,,Peru
20,4,2013,0.63,France,,Peru
21,3.5,2012,0.7,France,,Bolivia
22,3.75,2012,0.63,France,,Peru
23,3.75,2015,0.7,U.S.A.,Criollo,Peru
24,3.25,2011,0.8,Fiji,Trinitario,Fiji
25,3.5,2011,0.88,Fiji,Trinitario,Fiji
26,3.5,2011,0.72,Fiji,Trinitario,Fiji
27,2.75,2009,0.55,Ecuador,Forastero (Arriba),Ecuador
28,3,2009,0.7,Ecuador,Forastero (Arriba),Ecuador
29,3,2009,0.7,Mexico,Criollo,Mexico
30,3.75,2011,0.75,Switzerland,Trinitario,Indonesia
31,2.75,2010,0.75,Switzerland,Forastero,Brazil
32,2.75,2014,0.65,France,Trinitario,Trinidad
33,2.75,2014,0.75,France,Trinitario,Vietnam
34,3,2014,0.75,France,Trinitario,Madagascar
35,3.5,2017,0.7,Netherlands,"Criollo, Trinitario",Nicaragua
36,3.5,2017,0.7,Netherlands,Trinitario,Vietnam
37,3.5,2017,0.7,Netherlands,Forastero,Tanzania
38,2.75,2016,0.6,U.S.A.,,Nicaragua
39,3,2016,0.6,U.S.A.,,Peru
40,2.5,2016,0.6,U.S.A.,,Bolivia
41,2.5,2016,0.6,U.S.A.,,Peru
42,2.75,2016,0.6,U.S.A.,,Ecuador
43,2.5,2013,0.6,U.S.A.,,Venezuela
44,3,2013,0.6,U.S.A.,Trinitario,Dominican Republic
45,3.25,2013,0.8,U.S.A.,,Bolivia
46,3,2013,0.6,U.S.A.,,Bolivia
47,3.25,2013,0.6,U.S.A.,,Peru
48,4,2011,0.7,U.S.A.,,Papua New Guinea
49,3.75,2010,0.7,U.S.A.,,Dominican Republic
50,4,2010,0.7,U.S.A.,,Ecuador
51,3,2010,0.7,U.S.A.,Trinitario,Venezuela
52,3,2009,0.7,U.S.A.,,Venezuela
53,2.75,2008,0.7,U.S.A.,,Indonesia
54,3.5,2007,0.7,U.S.A.,Trinitario,Madagascar
55,3,2007,0.7,U.S.A.,,Venezuela
56,3.75,2007,0.7,U.S.A.,Criollo,Venezuela
57,2.75,2009,0.7,Spain,,Ecuador
58,2.75,2009,0.85,Spain,,Ecuador
59,3.25,2013,0.72,Peru,,Peru
60,3,2015,0.64,Canada,Trinitario,Belize
61,3.25,2015,0.66,Canada,Trinitario,Madagascar
62,3.25,2015,0.63,Canada,,Papua New Guinea
63,3.25,2015,0.7,Canada,,Venezuela
64,3.5,2015,0.68,Canada,,Peru
65,4,2007,0.7,Italy,Criollo (Porcelana),Venezuela
66,4,2007,0.75,Italy,Blend,
67,5,2007,0.7,Italy,Trinitario,Venezuela
68,3,2007,0.7,Italy,Trinitario,Jamaica
69,3.5,2007,0.7,Italy,Trinitario,Grenada
70,3.5,2007,0.7,Italy,Trinitario,Trinidad
71,3.5,2007,0.63,Italy,Blend,
72,5,2006,0.7,Italy,Blend,
73,4,2006,0.66,Italy,Blend,
74,3.25,2013,0.75,Brazil,Forastero (Catongo),Brazil
75,3.75,2010,0.5,Brazil,Forastero (Parazinho),Brazil
76,3.75,2010,0.75,Brazil,Forastero (Parazinho),Brazil
77,4,2010,0.6,Brazil,Forastero (Parazinho),Brazil
78,3,2014,0.75,U.S.A.,,Dominican Republic
79,3.5,2016,0.75,U.S.A.,,Bolivia
80,3,2014,0.75,France,Trinitario,Madagascar
81,2.5,2014,0.72,France,,Mexico
82,2.75,2014,0.75,France,,Ecuador
83,3,2014,0.75,France,,Venezuela
84,3.5,2016,0.7,U.S.A.,Trinitario,Trinidad
85,3.75,2016,0.7,U.S.A.,,Tanzania
86,3.5,2016,0.73,U.S.A.,Trinitario,Vietnam
87,3.25,2016,0.7,U.S.A.,,Ecuador
88,3.25,2016,0.7,U.S.A.,,Ecuador
89,3.5,2016,0.7,U.S.A.,,Guatemala
90,3.75,2016,0.7,U.S.A.,,Nicaragua
91,3.5,2016,0.7,U.S.A.,,Honduras
92,4,2016,0.7,U.S.A.,,Costa Rica
93,4,2016,0.7,U.S.A.,Forastero (Nacional),Peru
94,3.75,2016,0.7,U.S.A.,,Dominican Republic
95,3.25,2016,0.7,U.S.A.,,Fiji
96,3.25,2016,0.73,U.S.A.,,Vietnam
97,3.5,2015,0.7,U.S.A.,,Brazil
98,3.5,2015,0.68,U.S.A.,Forastero (Nacional),Peru
99,3.5,2015,0.7,U.S.A.,,Domincan Republic
100,4,2015,0.7,U.S.A.,"Criollo, Trinitario",Nicaragua
101,2.75,2015,0.75,U.S.A.,,Brazil
102,3.25,2015,0.7,U.S.A.,,Guatemala
103,3.25,2013,0.72,U.K.,Trinitario,Trinidad
104,3.75,2012,0.72,U.K.,,Colombia
105,4,2011,0.72,U.K.,,Haiti
106,2.75,2011,0.72,U.K.,,Panama
107,1.75,2010,1,U.K.,,Venezuela
108,3.25,2010,0.72,U.K.,,Costa Rica
109,3.25,2010,0.72,U.K.,Trinitario,Vietnam
110,3.5,2010,0.72,U.K.,,Indonesia
111,2.5,2009,0.75,U.K.,"Criollo, Trinitario",Venezuela
112,2.75,2009,0.72,U.K.,Trinitario,Indonesia
113,1.75,2009,0.72,U.K.,,Brazil
114,3,2009,0.8,U.K.,"Criollo, Trinitario",Madagascar
115,3,2009,0.75,U.K.,Criollo,Peru
116,3.25,2009,0.72,U.K.,Trinitario,Dominican Republic
117,2.75,2013,0.72,U.K.,Trinitario,Colombia
118,3.75,2016,0.68,U.S.A.,Trinitario,Tanzania
119,3.75,2011,0.72,U.S.A.,Trinitario,Tanzania
120,3.75,2009,0.77,U.S.A.,Trinitario,Philippines
121,2.5,2007,0.75,U.S.A.,Trinitario,Mexico
122,3,2007,0.7,U.S.A.,Forastero (Arriba),Ecuador
123,3.25,2015,0.8,Australia,,
124,3.5,2015,0.7,Australia,,Papua New Guinea
125,3,2012,0.7,Australia,Trinitario,Madagascar
126,2.5,2012,0.7,Australia,,Brazil
127,2.5,2012,0.7,Australia,Blend,
128,2.75,2015,0.7,Peru,,Peru
129,3.5,2015,0.7,U.S.A.,,Brazil
130,3.25,2012,0.7,U.S.A.,,Dominican Republic
131,3.75,2012,0.7,U.S.A.,Trinitario,Madagascar
132,2.75,2012,0.8,Wales,,Costa Rica
133,3.5,2016,0.65,U.S.A.,,Domincan Republic
134,3.75,2016,0.7,U.S.A.,,Brazil
135,3,2017,0.73,U.K.,,Malaysia
136,3.25,2017,0.72,U.K.,,Malaysia
137,2.75,2016,0.7,U.S.A.,,Domincan Republic
138,2.75,2010,0.64,Belgium,,Costa Rica
139,2.75,2010,0.64,Belgium,,Papua New Guinea
140,2.75,2010,0.64,Belgium,,Peru
141,3.5,2016,0.7,U.S.A.,"Criollo, Trinitario",Tanzania
142,3.25,2016,0.7,U.S.A.,,Bolivia
143,3.5,2016,0.7,U.S.A.,,Domincan Republic
144,2.75,2016,0.83,Germany,Trinitario,Belize
145,3,2016,0.78,Germany,Trinitario,Belize
146,3.5,2016,0.83,Germany,Trinitario,Belize
147,3.5,2013,0.74,Belgium,Criollo,Venezuela
148,4,2013,0.73,Belgium,Trinitario,Ecuador
149,4,2011,0.72,Belgium,Trinitario,Indonesia
150,3.75,2011,0.72,Belgium,Trinitario,Madagascar
151,2.75,2012,0.55,France,,
152,3,2011,0.64,Switzerland,Trinitario,Madagascar
153,4,2011,0.72,Switzerland,,Ecuador
154,3.25,2010,0.7,Switzerland,Trinitario,Venezuela
155,3.25,2010,0.74,Switzerland,Criollo (Porcelana),Venezuela
156,3.5,2010,0.64,Switzerland,,Indonesia
157,3.5,2010,0.72,Switzerland,,Venezuela
158,2.5,2015,0.76,U.S.A.,,Nicaragua
159,2.5,2015,0.76,U.S.A.,,Costa Rica
160,2.5,2015,0.78,U.S.A.,,Costa Rica
161,3.25,2010,0.75,U.S.A.,,Indonesia
162,3.75,2010,0.7,U.S.A.,Blend,"Dominican Rep., Bali"
163,2.75,2010,0.65,U.S.A.,,Indonesia
164,3,2010,0.78,U.S.A.,Criollo,Venezuela
165,3,2009,0.75,U.S.A.,,Dominican Republic
166,3.5,2009,0.65,U.S.A.,,Dominican Republic
167,3.25,2009,0.75,U.S.A.,Trinitario,Madagascar
168,3,2008,0.71,U.S.A.,Trinitario,Madagascar
169,3.5,2008,0.75,U.S.A.,,Panama
170,3.75,2008,0.68,U.S.A.,,Dominican Republic
171,3,2008,0.7,U.S.A.,Forastero,Ghana
172,2.75,2008,0.7,U.S.A.,,Dominican Republic
173,2.75,2014,0.7,U.K.,Trinitario,Jamaica
174,3.5,2013,0.82,Spain,Forastero,Congo
175,2.75,2009,0.72,Spain,,
176,3.5,2016,0.82,U.S.A.,Trinitario,Madagascar
177,3,2016,0.75,U.S.A.,,Dominican Republic
178,3.5,2012,0.7,U.S.A.,,Guatemala
179,3.75,2012,0.7,U.S.A.,Trinitario,Madagascar
180,3.5,2016,0.75,France,,Mexico
181,4,2014,0.75,France,,Brazil
182,3.25,2014,0.75,France,,Dominican Republic
183,3.75,2014,0.65,France,,"Venez,Africa,Brasil,Peru,Mex"
184,3.5,2013,0.75,France,,Brazil
185,3.25,2013,0.75,France,,Gabon
186,3.5,2011,0.75,France,Trinitario,Cuba
187,3.5,2011,0.75,France,,Peru
188,3.5,2011,0.75,France,Forastero (Nacional),Peru
189,3.75,2011,0.75,France,,Brazil
190,4,2011,0.75,France,,Haiti
191,4,2011,0.75,France,Criollo,Madagascar
192,3.5,2011,0.75,France,,Brazil
193,2.75,2009,0.75,France,Criollo,Peru
194,3,2009,0.75,France,Criollo,Mexico
195,4,2008,0.75,France,Criollo (Porcelana),Venezuela
196,2.5,2007,0.75,France,Forastero (Arriba),Ecuador
197,3.75,2006,0.75,France,Trinitario,Carribean
198,4,2006,0.75,France,Criollo,Venezuela
199,4,2006,0.75,France,Trinitario,Madagascar
200,1.5,2006,1,France,,
201,3,2006,0.75,France,,Sri Lanka
202,4,2006,0.75,France,Trinitario,Venezuela
203,3.25,2009,0.77,Ecuador,Forastero (Arriba),Ecuador
204,1.5,2009,1,Ecuador,Forastero (Arriba),Ecuador
205,2.75,2014,0.7,U.S.A.,Trinitario,Belize
206,2.75,2014,0.7,U.S.A.,,Dominican Republic
207,3.5,2016,0.7,U.S.A.,Criollo,Venezuela
208,3.75,2016,0.7,U.S.A.,,Nicaragua
209,3.75,2015,0.68,U.S.A.,,Dominican Republic
210,3.75,2014,0.7,U.S.A.,Trinitario,Belize
211,4,2014,0.7,U.S.A.,Trinitario,Venezuela
212,3,2013,0.72,U.S.A.,Trinitario,Dominican Republic
213,3.25,2013,0.7,U.S.A.,,Ecuador
214,3.5,2013,0.75,U.S.A.,Forastero,Ghana
215,3.5,2013,0.85,U.S.A.,Trinitario,Venezuela
216,3,2015,0.6,U.S.A.,,Dominican Republic
217,3.25,2015,0.8,U.S.A.,,Dominican Republic
218,3.5,2015,0.7,U.S.A.,,Guatemala
219,3.25,2015,0.8,U.S.A.,Trinitario,Belize
220,3.25,2015,0.6,U.S.A.,,Madagascar
221,3,2013,0.7,U.S.A.,Trinitario,Jamaica
222,3,2014,0.72,Australia,Trinitario,Madagascar
223,3.5,2014,0.72,Australia,,Ecuador
224,2.75,2014,0.68,Australia,Trinitario,Trinidad
225,3.25,2015,0.7,Russia,,Ecuador
226,2.75,2013,0.68,U.S.A.,,Dominican Republic
227,3.25,2014,0.72,U.S.A.,Trinitario,Trinidad
228,3.5,2014,0.72,U.S.A.,,Ecuador
229,3.25,2014,0.72,U.S.A.,Blend,
230,2.5,2015,0.7,Puerto Rico,,Puerto Rico
231,2.5,2014,0.75,U.S.A.,Criollo,Peru
232,2.5,2010,0.75,U.S.A.,,Dominican Republic
233,2.75,2010,0.75,U.S.A.,,Dominican Republic
234,2.25,2010,0.75,U.S.A.,,Venezuela
235,3.5,2016,0.65,France,"Trinitario, Criollo",Haiti
236,3,2010,0.7,France,,Dominican Republic
237,2,2008,0.75,France,,Tanzania
238,2,2007,0.72,France,,Venezuela
239,3,2007,0.66,France,,Mexico
240,3.5,2015,0.77,Venezuela,Trinitario,Venezuela
241,3.25,2014,0.74,Venezuela,,Venezuela
242,3.75,2014,0.7,Venezuela,Trinitario,Venezuela
243,3.25,2015,0.74,Venezuela,,Venezuela
244,3.75,2016,0.74,Colombia,,Colombia
245,3.75,2015,0.72,Colombia,,Colombia
246,3.5,2014,0.64,Colombia,,Colombia
247,3.5,2014,0.7,Colombia,,Colombia
248,2.75,2014,0.69,Colombia,,Colombia
249,3.25,2014,0.7,Colombia,,Colombia
250,3.5,2016,0.7,U.S.A.,Trinitario,Honduras
251,3.75,2012,0.72,U.S.A.,Criollo,Dominican Republic
252,3,2011,0.72,U.S.A.,,Dominican Republic
253,3.75,2011,0.66,U.S.A.,,Dominican Republic
254,3.25,2011,0.65,U.S.A.,,Dominican Republic
255,3.5,2010,0.71,Spain,Trinitario,Madagascar
256,3.75,2010,0.71,Spain,,Ecuador
257,4,2010,0.71,Spain,,Papua New Guinea
258,3.25,2010,0.71,Spain,Trinitario,Grenada
259,3.5,2010,0.71,Spain,,Venezuela
260,3.5,2010,0.77,Spain,,Venezuela
261,4,2009,0.7,Spain,Criollo,Mexico
262,3,2015,0.7,Japan,Trinitario,Madagascar
263,3.25,2015,0.7,Japan,,Peru
264,3.5,2015,0.7,Japan,Trinitario,Vietnam
265,3.25,2013,0.7,Peru,,Peru
266,3.5,2008,0.63,Ecuador,Forastero (Arriba),Ecuador
267,2.5,2008,0.82,Ecuador,Forastero (Arriba),Ecuador
268,1.5,2008,0.91,Ecuador,Forastero (Arriba),Ecuador
269,1,2007,0.7,Belgium,,Ecuador
270,2.5,2014,0.75,Italy,,Cuba
271,3,2014,0.72,Italy,,Dominican Republic
272,3.5,2013,1,Italy,,Ecuador
273,3,2012,0.8,Italy,,Venezuela
274,2.25,2011,0.78,Italy,Forastero,Sao Tome
275,2.5,2011,0.7,Italy,Trinitario,Trinidad
276,2.5,2016,0.75,U.S.A.,Criollo,Venezuela
277,2.75,2016,0.73,U.S.A.,,Tanzania
278,3,2016,0.75,U.S.A.,,Bolivia
279,3.25,2016,0.7,U.S.A.,Trinitario,Brazil
280,2,2008,0.77,Ecuador,Forastero (Arriba),Ecuador
281,2.5,2008,0.77,Ecuador,Forastero (Arriba),Ecuador
282,2.75,2008,0.77,Ecuador,Forastero (Arriba),Ecuador
283,3,2008,0.55,Ecuador,Forastero (Arriba),Ecuador
284,3.5,2008,0.55,Ecuador,Forastero (Arriba),Ecuador
285,3.5,2014,0.7,New Zealand,Trinitario,Papua New Guinea
286,3.5,2015,0.72,Costa Rica,,Costa Rica
287,3,2012,0.72,Costa Rica,Forastero,Costa Rica
288,2.75,2012,0.8,Costa Rica,Forastero,Costa Rica
289,3,2016,0.65,Colombia,Trinitario,Colombia
290,3.25,2016,0.65,Colombia,Trinitario,Colombia
291,3.25,2016,0.65,Colombia,Trinitario,Colombia
292,3.5,2016,0.65,Colombia,Trinitario,Colombia
293,4,2016,0.72,U.S.A.,Trinitario,Belize
294,3.5,2015,0.72,U.S.A.,Trinitario,Honduras
295,3.75,2015,0.7,U.S.A.,"Criollo, Trinitario",Domincan Republic
296,3.5,2015,0.72,U.S.A.,,Venezuela
297,3.5,2014,0.72,U.S.A.,"Criollo, Trinitario",Colombia
298,3.5,2014,0.76,U.S.A.,"Criollo, Trinitario",Colombia
299,2.75,2014,0.7,U.S.A.,Trinitario,Dominican Republic
300,3,2013,0.7,U.S.A.,Trinitario,Bolivia
301,3.5,2013,0.73,U.S.A.,Trinitario,Dominican Republic
302,2.5,2013,0.7,U.S.A.,Criollo,Peru
303,3.25,2013,0.7,U.S.A.,,Venezuela
304,3.25,2013,0.72,U.S.A.,Trinitario,Nicaragua
305,2.75,2013,0.7,U.S.A.,Criollo,Peru
306,3,2013,0.72,U.S.A.,,Venezuela
307,2.5,2014,0.7,U.S.A.,,Ecuador
308,3,2014,0.7,U.S.A.,,Bolivia
309,2.75,2009,0.72,France,,Ecuador
310,2.75,2014,0.7,Canada,Forastero,Uganda
311,3.25,2016,0.7,U.S.A.,,Belize
312,2.75,2010,0.55,Ecuador,Forastero (Arriba),Ecuador
313,3,2008,0.75,Ecuador,Forastero (Arriba),Ecuador
314,3.5,2011,0.7,France,,
315,3.25,2015,0.7,U.K.,,Ecuador
316,3,2014,0.75,Germany,Trinitario,Belize
317,3.25,2014,0.82,Germany,Trinitario,Belize
318,3.5,2015,0.7,South Korea,Trinitario,Malaysia
319,2.5,2015,0.65,U.K.,Criollo,Peru
320,2.75,2015,0.65,U.K.,Criollo,Peru
321,2.5,2015,0.8,U.K.,,Dominican Republic
322,3.75,2011,0.7,U.S.A.,Trinitario,Madagascar
323,3.75,2011,0.68,U.S.A.,,Venezuela
324,2.5,2016,0.9,U.S.A.,,Peru
325,2.5,2016,0.8,U.S.A.,,
326,2.5,2016,0.7,U.S.A.,,Bolivia
327,2.75,2016,0.7,U.S.A.,,Uganda
328,3,2016,0.6,U.S.A.,,Dominican Republic
329,3,2016,0.8,U.S.A.,Criollo (Ocumare),Venezuela
330,3.25,2016,0.7,U.S.A.,,Ecuador
331,2.75,2016,0.8,U.S.A.,,Nicaragua
332,2.75,2014,0.74,U.S.A.,,Peru
333,3.25,2015,0.75,Amsterdam,Trinitario,Dominican Republic
334,3.5,2015,0.68,Amsterdam,Forastero,Congo
335,3.75,2015,0.8,Amsterdam,Criollo,Peru
336,3.75,2015,0.69,Scotland,Forastero (Nacional),Peru
337,3.75,2015,0.8,Scotland,Trinitario,Venezuela
338,3.75,2013,0.7,Scotland,Forastero (Nacional),Peru
339,2.75,2012,0.68,Scotland,Criollo,Peru
340,3.25,2012,0.72,Scotland,Criollo,Madagascar
341,2.5,2014,0.7,Canada,Criollo,Mexico
342,3.25,2011,0.65,Canada,,Mexico
343,3.5,2010,0.71,Spain,Trinitario,Madagascar
344,3.25,2009,0.6,Spain,,
345,3.25,2009,0.75,Spain,,
346,3.5,2008,0.71,Spain,Criollo,Venezuela
347,2.5,2007,0.71,Spain,Forastero (Arriba),Ecuador
348,2.5,2007,0.71,Spain,Trinitario,Grenada
349,2.5,2015,0.65,U.S.A.,Trinitario,Mexico
350,2.5,2015,0.75,U.S.A.,Trinitario,Mexico
351,2.5,2009,0.8,Canada,Criollo,Venezuela
352,3,2009,0.7,Canada,,Brazil
353,3,2009,0.8,Canada,,Brazil
354,3,2009,0.7,Canada,Criollo,Venezuela
355,2.75,2013,0.42,Martinique,,Martinique
356,3.75,2011,0.68,Canada,Forastero (Nacional),Peru
357,3,2009,0.61,U.S.A.,Criollo,Venezuela
358,2.75,2010,0.77,U.S.A.,Trinitario,Venezuela
359,3.75,2010,0.735,Sao Tome,Forastero,Sao Tome & Principe
360,3,2008,0.8,Sao Tome,Forastero,Sao Tome & Principe
361,4,2008,0.75,Sao Tome,Forastero,Sao Tome & Principe
362,1,2008,1,Sao Tome,Forastero,Sao Tome & Principe
363,3.5,2015,0.73,U.S.A.,,Ecuador
364,3,2015,0.75,U.S.A.,Trinitario,Madagascar
365,3.25,2010,0.7,Argentina,,Venezuela
